order_id,customer_id,order_status,order_purchase_timestamp,order_approved_at,order_delivered_timestamp,order_estimated_delivery_date,customer_zip_code_prefix,customer_city,customer_state,product_id,seller_id,price,shipping_charges,payment_sequential,payment_type,payment_installments,payment_value,product_category_name,product_weight_g,product_length_cm,product_height_cm,product_width_cm
fGGjSsmHvsLn,VJ52UVGCwZmc,delivered,2018-08-09 11:38:37,2018-08-09 11:50:16,2018-08-13 15:51:57,2018-08-28,11081,rio de janeiro,RJ,ItqhctCNl4We,SgeUigb5Vbiv,32.5,30.13,1,debit_card,1,132.9,toys,133.0,17.0,9.0,14.0
ZRItgti4GSb7,QnjJTKfi1OvP,delivered,2018-07-24 16:11:14,2018-07-26 03:25:07,2018-08-02 19:03:00,2018-08-20,28035,cachoeirinha,RS,Hf8mUyaycExL,qGa0MsnXTfV8,1095.65,57.56,1,wallet,1,203.82,toys,283.0,51.0,4.0,32.0
QugfN5GO1bfD,D3gqMKOkFcEC,delivered,2018-06-13 18:05:40,2018-06-14 02:39:25,2018-06-27 13:11:22,2018-07-17,78560,lauro de freitas,BA,GBb1WiF57JuY,AHG0TE6bRNNY,182.9,15.93,1,wallet,1,901.06,toys,150.0,20.0,20.0,20.0
vBw3GyzjUuLK,OGOMIE0ghaMb,shipped,2017-03-23 23:44:58,2017-03-24 23:50:18,,2017-04-13,44360,sao paulo,SP,oQxELBYhAfJX,dHUHvmn8Gewy,109.82,2.46,1,voucher,1,151.98,toys,150.0,16.0,9.0,11.0
1ttPRIR8zQSJ,UH7osKXXsqSR,delivered,2018-02-12 10:12:54,2018-02-12 10:28:11,2018-02-27 22:09:24,2018-03-06,70336,praia grande,SP,7D4hcbB4wZFm,16pMg4KJ3hIj,346.99,35.61,1,credit_card,5,59.69,toys,650.0,16.0,10.0,16.0
fUgUZaq6D95n,6lKJVSYzSSfH,delivered,2017-06-12 22:25:28,2017-06-13 04:32:55,2017-06-19 21:55:47,2017-07-03,2863,pederneiras,SP,e3A7loHfJNMi,dQCmV6mcOXGX,100.0,46.22,1,wallet,1,180.34,toys,400.0,30.0,10.0,30.0
qbhCD1HY7OaB,ZWVtNS8Qcrih,delivered,2017-11-24 22:52:28,2017-11-25 01:16:08,2017-12-11 23:42:42,2017-12-15,91350,passos,MG,skoITlddcF5m,h5jBMl1c5nuX,127.77,47.55,1,credit_card,4,514.6,toys,100.0,18.0,6.0,11.0
3MJuP2CkufJ1,jFoLVf5KmbNv,delivered,2017-04-04 16:45:03,2017-04-04 16:55:27,2017-04-12 13:05:50,2017-05-02,1534,lavras,MG,ItS6jDqUYnKX,NJL6ym6PCIKm,252.99,30.39,1,credit_card,1,592.42,toys,300.0,21.0,12.0,12.0
JT3AtXSDNnQi,aAUCf8hrnq8k,delivered,2017-12-27 20:12:02,2017-12-27 20:19:25,2018-01-31 23:36:43,2018-02-05,53320,videira,SC,wYpJ3j8cxnSo,mt3LxYW5TJEQ,49.38,58.65,1,credit_card,10,86.57,toys,100.0,20.0,2.0,25.0
ksiT8YOkVCP8,GMx5Kry8YhU6,delivered,2018-08-04 12:40:43,2018-08-04 12:50:17,2018-08-17 22:21:27,2018-09-04,65775,caucaia,CE,LeGxEhH8juyh,yGbPyLPc8PmT,2899.0,24.24,1,wallet,1,38.49,watches_gifts,250.0,16.0,2.0,11.0
